mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.5692343711853027,0.9283951175764561,0.1581263542175293,0.018817945388409796,10,0.5,10,100,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 100}",-228.83510353856366,-195.97978587419198,-263.14649723173,-229.32046221482855,27.422842770583017,26
5.03844428062439,1.8625721810546512,0.28806742032368976,0.019799088689121256,10,0.5,10,200,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 200}",-228.1254136717076,-193.34550431204104,-260.08454235098395,-227.18515344491087,27.254209051831964,23
12.033408562342325,4.126895742660822,0.5102033615112305,0.05219582992476619,10,0.5,10,500,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 500}",-227.73294328888363,-193.30471279176942,-258.77393626760147,-226.60386411608485,26.739620047985543,19
2.589374621709188,0.9641035892208822,0.20799652735392252,0.011013923768477075,15,sqrt,2,100,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",-237.813794547394,-201.67316609594636,-274.38496920177147,-237.9573099483706,29.684642777344287,48
5.172975381215413,1.8092393368987172,0.3417576154073079,0.02303661605106416,15,sqrt,2,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",-235.3304358413545,-199.2087348261348,-271.99648907629586,-235.5118865812617,29.71575323487213,40
12.560504674911499,4.332196092422248,0.6479190985361735,0.04941766734752017,15,sqrt,2,500,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}",-233.72363825034975,-199.44643058355345,-272.82679808164653,-235.33228897184992,29.97899710793804,38
2.3833316961924234,0.8529442453334385,0.17240428924560547,0.02973330419932058,15,sqrt,5,100,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",-243.7787228672836,-203.7479867786648,-275.7287386770145,-241.0851494409876,29.44767862175308,72
4.494665622711182,1.5147612289968684,0.2896432876586914,0.02481016007493379,15,sqrt,5,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",-237.41570477030416,-201.29846992709182,-274.175534619484,-237.62990310562665,29.752322601100342,46
11.043806076049805,3.7307713378195873,0.5699041684468588,0.07214311973552169,15,sqrt,5,500,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500}",-233.60555883821604,-200.03733380265908,-272.2821335913429,-235.308342077406,29.518382715369114,36
2.1349685192108154,0.7590118992137562,0.16733662287394205,0.003962909488011596,15,sqrt,10,100,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",-243.97352867122206,-201.9413969649426,-283.2135480002543,-243.04282454547297,33.18574283337042,78
